Time_ms	Alt_m	Alt_ft	Lat	Lon	GndSpd_ms	Heading_deg	Bearing_deg	Phase	MotorPos	PID_P	PID_I	LoiterStep
1014342	-0.69	-2.3	42.7038488	-77.1917584	0.027	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014392	-0.75	-2.5	42.7038489	-77.1917584	0.008	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014442	-0.77	-2.5	42.7038489	-77.1917584	0.008	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014492	-0.73	-2.4	42.7038489	-77.1917585	0.062	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014542	-0.65	-2.1	42.7038489	-77.1917585	0.062	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014592	-0.78	-2.6	42.7038489	-77.1917585	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014642	-0.81	-2.7	42.7038489	-77.1917585	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014692	-0.79	-2.6	42.7038489	-77.1917585	0.022	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014742	-0.78	-2.5	42.7038489	-77.1917585	0.022	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014792	-0.69	-2.3	42.7038489	-77.1917585	0.018	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014842	-0.73	-2.4	42.7038489	-77.1917585	0.018	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014892	-0.67	-2.2	42.7038489	-77.1917585	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014942	-0.70	-2.3	42.7038489	-77.1917585	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014992	-0.69	-2.3	42.7038489	-77.1917585	0.046	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015042	-0.69	-2.3	42.7038489	-77.1917585	0.046	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015092	-0.58	-1.9	42.7038489	-77.1917585	0.018	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015142	-0.64	-2.1	42.7038489	-77.1917585	0.018	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015192	-0.71	-2.3	42.7038489	-77.1917585	0.018	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015242	-0.67	-2.2	42.7038489	-77.1917584	0.024	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015292	-0.86	-2.8	42.7038489	-77.1917584	0.024	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015342	-0.86	-2.8	42.7038489	-77.1917584	0.037	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015392	-0.82	-2.7	42.7038489	-77.1917584	0.037	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015442	-0.78	-2.6	42.7038489	-77.1917584	0.009	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015492	-0.72	-2.3	42.7038489	-77.1917584	0.009	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015542	-0.69	-2.3	42.7038488	-77.1917584	0.055	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015592	-0.72	-2.4	42.7038488	-77.1917584	0.055	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015642	-0.74	-2.4	42.7038488	-77.1917584	0.009	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015692	-0.85	-2.8	42.7038488	-77.1917584	0.009	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015742	-0.83	-2.7	42.7038489	-77.1917585	0.046	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015793	-0.73	-2.4	42.7038489	-77.1917585	0.046	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015843	-0.79	-2.6	42.7038489	-77.1917584	0.015	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015893	-0.69	-2.3	42.7038489	-77.1917584	0.015	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015943	-0.75	-2.5	42.7038489	-77.1917584	0.010	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1015993	-0.71	-2.3	42.7038489	-77.1917584	0.010	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016043	-0.74	-2.4	42.7038489	-77.1917584	0.038	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016093	-0.77	-2.5	42.7038489	-77.1917584	0.038	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016143	-0.74	-2.4	42.7038489	-77.1917584	0.044	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016193	-0.73	-2.4	42.7038489	-77.1917584	0.044	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016243	-0.74	-2.4	42.7038489	-77.1917584	0.044	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
